Date,CO2_constrain
1745,276.9859975
1746,276.9859975
1747,276.9859975
1748,276.9859975
1749,276.9859975
1750,276.9859975
1751,276.9859975
1752,276.9859975
1753,276.9859975
1754,276.9859975
1755,276.9859975
1756,276.9859975
1757,276.9859975
1758,276.9859975
1759,276.9859975
1760,276.9859975
1761,276.9859975
1762,276.9859975
1763,276.9859975
1764,276.9859975
1765,276.9859975
1766,276.9859975
1767,276.9859975
1768,276.9859975
1769,276.9859975
1770,276.9859975
1771,276.9859975
1772,276.9859975
1773,276.9859975
1774,276.9859975
1775,276.9859975
1776,276.9859975
1777,276.9859975
1778,276.9859975
1779,276.9859975
1780,276.9859975
1781,276.9859975
1782,276.9859975
1783,276.9859975
1784,276.9859975
1785,276.9859975
1786,276.9859975
1787,276.9859975
1788,276.9859975
1789,276.9859975
1790,276.9859975
1791,276.9859975
1792,276.9859975
1793,276.9859975
1794,276.9859975
1795,276.9859975
1796,276.9859975
1797,276.9859975
1798,276.9859975
1799,276.9859975
1800,276.9859975
1801,279.75585747499997
1802,282.55341604975
1803,285.3789502102475
1804,288.23273971235
1805,291.1150671094735
1806,294.02621778056823
1807,296.9664799583739
1808,299.93614475795766
1809,302.9355062055372
1810,305.9648612675926
1811,309.0245098802685
1812,312.1147549790712
1813,315.2359025288619
1814,318.3882615541506
1815,321.5721441696921
1816,324.787865611389
1817,328.0357442675029
1818,331.3161017101779
1819,334.6292627272797
1820,337.9755553545525
1821,341.35531090809803
1822,344.768864017179
1823,348.2165526573508
1824,351.6987181839243
1825,355.21570536576354
1826,358.76786241942125
1827,362.35554104361546
1828,365.97909645405156
1829,369.6388874185921
1830,373.335276292778
1831,377.0686290557058
1832,380.8393153462628
1833,384.64770849972547
1834,388.49418558472274
1835,392.37912744056996
1836,396.3029187149757
1837,400.26594790212545
1838,404.2686073811467
1839,408.31129345495816
1840,412.3944063895077
1841,416.51835045340283
1842,420.68353395793685
1843,424.89036929751626
1844,429.1392729904914
1845,433.4306657203963
1846,437.76497237760026
1847,442.1426221013763
1848,446.5640483223901
1849,451.02968880561394
1850,455.53998569367013
1851,460.09538555060686
1852,464.6963394061129
1853,469.343302800174
1854,474.0367358281758
1855,478.7771031864575
1856,483.5648742183221
1857,488.4005229605053
1858,493.2845281901104
1859,498.2173734720115
1860,503.19954720673167
1861,508.2315426787989
1862,513.313858105587
1863,518.4469966866428
1864,523.6314666535093
1865,528.8677813200443
1866,534.1564591332448
1867,539.4980237245773
1868,544.893003961823
1869,550.3419340014412
1870,555.8453533414557
1871,561.4038068748703
1872,567.0178449436189
1873,572.6880233930551
1874,578.4149036269857
1875,584.1990526632555
1876,590.0410431898881
1877,595.9414536217871
1878,601.9008681580049
1879,607.9198768395848
1880,613.9990756079808
1881,620.1390663640606
1882,626.3404570277012
1883,632.6038615979783
1884,638.929900213958
1885,645.3191992160976
1886,651.7723912082587
1887,658.2901151203412
1888,664.8730162715445
1889,671.52174643426
1890,678.2369638986025
1891,685.0193335375886
1892,691.8695268729647
1893,698.7882221416942
1894,705.7761043631112
1895,712.8338654067423
1896,719.9622040608097
1897,727.1618261014179
1898,734.4334443624319
1899,741.7777788060564
1900,749.1955565941169
1901,756.6875121600581
1902,764.2543872816586
1903,771.8969311544753
1904,779.6159004660201
1905,787.4120594706802
1906,795.286180065387
1907,803.2390418660409
1908,811.2714322847013
1909,819.3841466075484
1910,827.5779880736238
1911,835.85376795436
1912,844.2123056339037
1913,852.6544286902428
1914,861.1809729771452
1915,869.7927827069166
1916,878.4907105339859
1917,887.2756176393257
1918,896.1483738157189
1919,905.1098575538762
1920,914.1609561294149
1921,923.302565690709
1922,932.5355913476162
1923,941.8609472610923
1924,951.2795567337032
1925,960.7923523010403
1926,970.4002758240507
1927,980.1042785822913
1928,989.9053213681141
1929,999.8043745817953
1930,1009.8024183276133
1931,1019.9004425108893
1932,1030.0994469359982
1933,1040.4004414053584
1934,1050.804445819412
1935,1061.312490277606
1936,1071.925615180382
1937,1082.6448713321859
1938,1093.4713200455078
1939,1104.4060332459628
1940,1107.94399
1941,1107.94399
1942,1107.94399
1943,1107.94399
1944,1107.94399
1945,1107.94399
1946,1107.94399
1947,1107.94399
1948,1107.94399
1949,1107.94399
1950,1107.94399
1951,1107.94399
1952,1107.94399
1953,1107.94399
1954,1107.94399
1955,1107.94399
1956,1107.94399
1957,1107.94399
1958,1107.94399
1959,1107.94399
1960,1107.94399
1961,1107.94399
1962,1107.94399
1963,1107.94399
1964,1107.94399
1965,1107.94399
1966,1107.94399
1967,1107.94399
1968,1107.94399
1969,1107.94399
1970,1107.94399
1971,1107.94399
1972,1107.94399
1973,1107.94399
1974,1107.94399
1975,1107.94399
1976,1107.94399
1977,1107.94399
1978,1107.94399
1979,1107.94399
1980,1107.94399
1981,1107.94399
1982,1107.94399
1983,1107.94399
1984,1107.94399
1985,1107.94399
1986,1107.94399
1987,1107.94399
1988,1107.94399
1989,1107.94399
1990,1107.94399
1991,1107.94399
1992,1107.94399
1993,1107.94399
1994,1107.94399
1995,1107.94399
1996,1107.94399
1997,1107.94399
1998,1107.94399
1999,1107.94399
2000,1107.94399
2001,1107.94399
2002,1107.94399
2003,1107.94399
2004,1107.94399
2005,1107.94399
2006,1107.94399
2007,1107.94399
2008,1107.94399
2009,1107.94399
2010,1107.94399
2011,1107.94399
2012,1107.94399
2013,1107.94399
2014,1107.94399
2015,1107.94399
2016,1107.94399
2017,1107.94399
2018,1107.94399
2019,1107.94399
2020,1107.94399
2021,1107.94399
2022,1107.94399
2023,1107.94399
2024,1107.94399
2025,1107.94399
2026,1107.94399
2027,1107.94399
2028,1107.94399
2029,1107.94399
2030,1107.94399
2031,1107.94399
2032,1107.94399
2033,1107.94399
2034,1107.94399
2035,1107.94399
2036,1107.94399
2037,1107.94399
2038,1107.94399
2039,1107.94399
2040,1107.94399
2041,1107.94399
2042,1107.94399
2043,1107.94399
2044,1107.94399
2045,1107.94399
2046,1107.94399
2047,1107.94399
2048,1107.94399
2049,1107.94399
2050,1107.94399
2051,1107.94399
2052,1107.94399
2053,1107.94399
2054,1107.94399
2055,1107.94399
2056,1107.94399
2057,1107.94399
2058,1107.94399
2059,1107.94399
2060,1107.94399
2061,1107.94399
2062,1107.94399
2063,1107.94399
2064,1107.94399
2065,1107.94399
2066,1107.94399
2067,1107.94399
2068,1107.94399
2069,1107.94399
2070,1107.94399
2071,1107.94399
2072,1107.94399
2073,1107.94399
2074,1107.94399
2075,1107.94399
2076,1107.94399
2077,1107.94399
2078,1107.94399
2079,1107.94399
2080,1107.94399
2081,1107.94399
2082,1107.94399
2083,1107.94399
2084,1107.94399
2085,1107.94399
2086,1107.94399
2087,1107.94399
2088,1107.94399
2089,1107.94399
2090,1107.94399
2091,1107.94399
2092,1107.94399
2093,1107.94399
2094,1107.94399
2095,1107.94399
2096,1107.94399
2097,1107.94399
2098,1107.94399
2099,1107.94399
2100,1107.94399
2101,1107.94399
2102,1107.94399
2103,1107.94399
2104,1107.94399
2105,1107.94399
2106,1107.94399
2107,1107.94399
2108,1107.94399
2109,1107.94399
2110,1107.94399
2111,1107.94399
2112,1107.94399
2113,1107.94399
2114,1107.94399
2115,1107.94399
2116,1107.94399
2117,1107.94399
2118,1107.94399
2119,1107.94399
2120,1107.94399
2121,1107.94399
2122,1107.94399
2123,1107.94399
2124,1107.94399
2125,1107.94399
2126,1107.94399
2127,1107.94399
2128,1107.94399
2129,1107.94399
2130,1107.94399
2131,1107.94399
2132,1107.94399
2133,1107.94399
2134,1107.94399
2135,1107.94399
2136,1107.94399
2137,1107.94399
2138,1107.94399
2139,1107.94399
2140,1107.94399
2141,1107.94399
2142,1107.94399
2143,1107.94399
2144,1107.94399
2145,1107.94399
2146,1107.94399
2147,1107.94399
2148,1107.94399
2149,1107.94399
2150,1107.94399
2151,1107.94399
2152,1107.94399
2153,1107.94399
2154,1107.94399
2155,1107.94399
2156,1107.94399
2157,1107.94399
2158,1107.94399
2159,1107.94399
2160,1107.94399
2161,1107.94399
2162,1107.94399
2163,1107.94399
2164,1107.94399
2165,1107.94399
2166,1107.94399
2167,1107.94399
2168,1107.94399
2169,1107.94399
2170,1107.94399
2171,1107.94399
2172,1107.94399
2173,1107.94399
2174,1107.94399
2175,1107.94399
2176,1107.94399
2177,1107.94399
2178,1107.94399
2179,1107.94399
2180,1107.94399
2181,1107.94399
2182,1107.94399
2183,1107.94399
2184,1107.94399
2185,1107.94399
2186,1107.94399
2187,1107.94399
2188,1107.94399
2189,1107.94399
2190,1107.94399
2191,1107.94399
2192,1107.94399
2193,1107.94399
2194,1107.94399
2195,1107.94399
2196,1107.94399
2197,1107.94399
2198,1107.94399
2199,1107.94399
2200,1107.94399
2201,1107.94399
2202,1107.94399
2203,1107.94399
2204,1107.94399
2205,1107.94399
2206,1107.94399
2207,1107.94399
2208,1107.94399
2209,1107.94399
2210,1107.94399
2211,1107.94399
2212,1107.94399
2213,1107.94399
2214,1107.94399
2215,1107.94399
2216,1107.94399
2217,1107.94399
2218,1107.94399
2219,1107.94399
2220,1107.94399
2221,1107.94399
2222,1107.94399
2223,1107.94399
2224,1107.94399
2225,1107.94399
2226,1107.94399
2227,1107.94399
2228,1107.94399
2229,1107.94399
2230,1107.94399
2231,1107.94399
2232,1107.94399
2233,1107.94399
2234,1107.94399
2235,1107.94399
2236,1107.94399
2237,1107.94399
2238,1107.94399
2239,1107.94399
2240,1107.94399
2241,1107.94399
2242,1107.94399
2243,1107.94399
2244,1107.94399
2245,1107.94399
2246,1107.94399
2247,1107.94399
2248,1107.94399
2249,1107.94399
2250,1107.94399
2251,1107.94399
2252,1107.94399
2253,1107.94399
2254,1107.94399
2255,1107.94399
2256,1107.94399
2257,1107.94399
2258,1107.94399
2259,1107.94399
2260,1107.94399
2261,1107.94399
2262,1107.94399
2263,1107.94399
2264,1107.94399
2265,1107.94399
2266,1107.94399
2267,1107.94399
2268,1107.94399
2269,1107.94399
2270,1107.94399
2271,1107.94399
2272,1107.94399
2273,1107.94399
2274,1107.94399
2275,1107.94399
2276,1107.94399
2277,1107.94399
2278,1107.94399
2279,1107.94399
2280,1107.94399
2281,1107.94399
2282,1107.94399
2283,1107.94399
2284,1107.94399
2285,1107.94399
2286,1107.94399
2287,1107.94399
2288,1107.94399
2289,1107.94399
2290,1107.94399
2291,1107.94399
2292,1107.94399
2293,1107.94399
2294,1107.94399
2295,1107.94399
2296,1107.94399
2297,1107.94399
2298,1107.94399
2299,1107.94399
2300,1107.94399
