Global ocean heat content anomaly in Zettajoules (ZJ) relative to the 2005-2014 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma),Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
1957.5,-142.23853015372023,96.27473857907759,-93.2252237037037,23.816565076464446,-21.849999999999994,6.583586626139817,-257.31375385742393,126.67489028168185
1958.5,-145.8787259884437,87.23247009067504,-93.00836074074074,23.58669489849901,-21.849999999999994,6.583586626139817,-260.7370867291844,117.40275161531387
1959.5,-140.97518693694974,82.03688146378414,-88.37515333333333,23.12380786161885,-21.849999999999994,6.583586626139817,-251.20034027028308,111.7442759515428
1960.5,-148.2804578276178,81.19742263820508,-83.68276814814814,23.476458047465783,-21.849999999999994,6.583586626139817,-253.81322597576593,111.25746731181069
1961.5,-135.90422059792718,76.54646877438714,-78.59467925925925,23.154889833962685,-21.849999999999994,6.583586626139817,-236.3488998571864,106.28494523448964
1962.5,-130.62102847976243,72.89688757606949,-76.67166074074073,22.624135198202723,-21.849999999999994,6.583586626139817,-229.14268922050317,102.10460940041203
1963.5,-133.95628464829738,66.50528306886444,-76.03519703703704,20.81822866146653,-21.849999999999994,6.583586626139817,-231.8414816853344,93.9070983564708
1964.5,-145.4404985137923,61.54356970207654,-74.8209572962963,19.23902076377689,-21.849999999999994,6.583586626139817,-242.1114558100886,87.36617709199325
1965.5,-146.6258881730434,61.79193710865607,-72.4352835925926,17.36092277710108,-21.849999999999994,6.583586626139817,-240.911171765636,85.73644651189697
1966.5,-148.39829493941528,59.75314123339538,-71.54572507407407,16.725804593990414,-21.849999999999994,6.583586626139817,-241.79402001348936,83.06253245352562
1967.5,-156.3624159378117,56.36497186213218,-74.06902407407408,16.51162185665672,-21.849999999999994,6.583586626139817,-252.2814400118858,79.46018034492872
1968.5,-168.66857215533688,50.38224250435458,-77.71604222222223,16.438099160343263,-21.849999999999994,6.583586626139817,-268.23461437755907,73.40392829083767
1969.5,-175.1378341629814,48.83623186241617,-79.8778885185185,15.150980449687507,-21.849999999999994,6.583586626139817,-276.86572268149985,70.5707989382435
1970.5,-168.2571322443293,46.022215680770515,-78.42655333333333,13.636515855380862,-21.849999999999994,6.583586626139817,-268.5336855776626,66.2423181622912
1971.5,-163.1163399467975,47.97806382485157,-77.17299037037036,13.856035391086442,-21.849999999999994,6.583586626139817,-262.13933031716783,68.41768584207783
1972.5,-157.28393687050362,47.57943933658629,-74.78080851851853,14.706484525379308,-21.849999999999994,6.583586626139817,-253.91474538902216,68.86951048810542
1973.5,-158.19037105891385,51.275887005729466,-72.50370592592593,16.904217808257812,-21.849999999999994,6.583586626139817,-252.5440769848398,74.76369144012709
1974.5,-149.46804232764373,53.52294610739087,-67.53144407407407,17.04580094298515,-21.849999999999994,6.583586626139817,-238.8494864017178,77.15233367651584
1975.5,-145.53995768432551,55.29194494265148,-66.54646370370371,17.00868170221365,-21.849999999999994,6.583586626139817,-233.93642138802923,78.88421327100495
1976.5,-133.32897881431174,55.738914347175054,-67.33052740740742,16.402528398487338,-21.849999999999994,6.583586626139817,-222.50950622171914,78.72502937180221
1977.5,-133.58383448521826,54.675628846970504,-69.98200866666667,15.619231360516915,-21.849999999999994,6.583586626139817,-225.41584315188493,76.87844683362724
1978.5,-129.6541032173291,50.53983736045575,-71.20715348148148,13.916722082377165,-21.849999999999994,6.583586626139817,-222.71125669881056,71.04014606897273
1979.5,-123.39601190208096,49.6487470179497,-70.7635757037037,11.34869887522155,-21.849999999999994,6.583586626139817,-216.00958760578465,67.58103251931107
1980.5,-114.66737691543024,48.977207013139385,-71.13930777777777,10.052363922503108,-21.849999999999994,6.583586626139817,-207.656684693208,65.61315756178232
1981.5,-110.53204850044571,52.07812798758481,-71.07968111111111,10.092496110098812,-21.849999999999994,6.583586626139817,-203.46172961155682,68.75421072382343
1982.5,-118.07802217254803,50.295023450085935,-71.29365740740741,11.49179829726604,-21.849999999999994,6.583586626139817,-211.22167957995543,68.3704083734918
1983.5,-126.82406290908698,47.921909250764635,-70.9432185185185,13.096377198107374,-21.849999999999994,6.583586626139817,-219.6172814276055,67.60187307501182
1984.5,-126.8543665671391,45.83633437492463,-68.90619777777778,14.515787815788793,-21.849999999999994,6.583586626139817,-217.61056434491687,66.93570881685324
1985.5,-121.88575271474716,44.32563230368716,-65.23489185185186,14.136795050360144,-21.849999999999994,6.583586626139817,-208.97064456659902,65.04601398018711
1986.5,-118.35241285781058,41.59896065501958,-61.85368037037037,13.397593320297691,-21.849999999999994,6.583586626139817,-202.05609322818094,61.58014060145709
1987.5,-111.69972323864036,39.9889349757313,-59.438724814814805,12.690513884256637,-21.849999999999994,6.583586626139817,-192.98844805345516,59.263035486127755
1988.5,-107.43957376216201,39.53456752098609,-59.44738777777778,12.628603465945375,-21.849999999999994,6.583586626139817,-188.73696153993978,58.74675761307128
1989.5,-104.60487323728285,36.82825495326665,-60.636564444444446,11.232163609961491,-21.849999999999994,6.583586626139817,-187.09143768172729,54.64400518936796
1990.5,-100.63471861915946,32.30827416170819,-60.545994074074066,11.574397270293124,-21.849999999999994,6.583586626139817,-183.0307126932335,50.466258058141136
1991.5,-100.49685593916647,26.810677114828433,-56.655660740740736,10.646910352639944,-21.274999999999995,6.410334346504558,-178.4275166799072,43.867921813972934
1992.5,-95.22673835744766,21.857672191682784,-51.02807185185185,9.794801853130036,-20.124999999999993,6.063829787234042,-166.3798102092995,37.71630383204686
1993.5,-95.99610107178749,20.295295194377626,-46.359594074074074,8.383798602486399,-18.974999999999994,5.717325227963524,-161.33069514586157,34.39641902482755
1994.5,-97.44044698935589,18.53154275685109,-45.9843088888889,8.530969032820549,-17.824999999999996,5.370820668693009,-161.24975587824477,32.433332458364646
1995.5,-90.8978010612924,19.882416058539608,-44.299694074074075,9.115998136300714,-16.674999999999994,5.024316109422491,-151.87249513536645,34.022730304262815
1996.5,-87.64990132941881,21.070020032915107,-42.077649629629626,9.203743548073199,-15.524999999999995,4.677811550151975,-145.25255095904845,34.95157513114028
1997.5,-80.69060258775683,20.490221039683373,-39.44572740740741,10.150949091683882,-14.374999999999993,4.331306990881458,-134.51132999516423,34.97247712224871
1998.5,-76.0271880519216,21.606818834194403,-36.951194074074074,10.830420408379492,-13.224999999999994,3.9848024316109414,-126.20338212599566,36.42204167418484
1999.5,-68.87229254562764,25.961468639646725,-36.14528296296296,12.486362083560824,-12.074999999999992,3.638297872340425,-117.09257550859058,42.08612859554797
2000.5,-62.23147608030767,37.0816720217399,-33.556860740740746,10.655420621317923,-10.924999999999994,3.291793313069908,-106.71333682104842,51.02888595612773
2001.5,-52.14077378049757,39.40427412594344,-31.130753333333335,9.924949691436819,-9.774999999999991,2.9452887537993915,-93.04652711383089,52.27451257117964
2002.5,-37.68995621749674,38.048042284857836,-26.65283851851852,8.12225967444379,-8.624999999999993,2.598784194528875,-72.96779473601526,48.7690861538305
2003.5,-22.96675646473894,25.31265797772005,-23.05145333333334,7.122459141563707,-7.474999999999991,2.2522796352583585,-53.49320979807227,34.68739675454212
2004.5,-19.591529186908947,18.083410221504188,-19.47916814814816,6.368675310034858,-6.324999999999992,1.9057750759878416,-45.39569733505709,26.357860607526888
2005.5,-17.22062186981616,13.0164449404233,-15.507631111111118,6.055584741993273,-5.174999999999994,1.559270516717325,-37.90325298092728,20.6313001991339
2006.5,-17.956024888981794,11.550142796148968,-12.986505185185187,5.901888580847676,-4.024999999999995,1.2127659574468082,-34.96753007416697,18.664797334443453
2007.5,-13.048765173103497,11.133356022122005,-9.96945333333334,5.794796264714736,-2.8749999999999964,0.8662613981762917,-25.893218506436835,17.794413685013033
2008.5,-9.49134574052512,10.630492868444406,-7.576638518518518,5.677650965617165,-1.7249999999999979,0.519756838905775,-18.792984259043635,16.827900672967345
2009.5,-3.313304341525471,10.563090436470972,-3.6747311111111065,5.600922341741007,-0.5749999999999993,0.17325227963525833,-7.563035452636576,16.337265057847237
2010.5,0.9935620165526107,10.575487740876744,0.10909851851852119,5.36099372823797,0.5749999999999993,0.17325227963525833,1.677660535071131,16.10973374874997
2011.5,3.577498565162485,10.597429376217159,4.470576296296292,5.3493184861014935,1.7249999999999979,0.519756838905775,9.773074861458774,16.466504701224427
2012.5,11.162862146604446,10.790268117057431,9.763054074074075,5.515035576234926,2.8749999999999964,0.8662613981762917,23.80091622067852,17.17156509146865
2013.5,17.35882158300699,10.722028872652759,15.242376296296298,5.645658453398824,4.024999999999995,1.2127659574468082,36.62619787930328,17.580453283498393
2014.5,27.937317702625503,10.660831642104196,20.129854074074075,6.113470357057304,5.174999999999994,1.559270516717325,53.24217177669958,18.333572515878828
2015.5,31.545704710264197,10.992785397659347,23.17811333333333,6.104757822285159,6.324999999999992,1.9057750759878416,61.04881804359752,19.003318295932345
2016.5,39.62071010028119,11.520121699784536,25.784076296296288,6.637443778944542,7.474999999999991,2.2522796352583585,72.87978639657747,20.409845113987434
2017.5,44.97523844856178,11.309177893471196,27.28185407407406,6.773432523794427,8.62499999999999,2.598784194528875,80.88209252263583,20.6813946117945
2018.5,55.2461891563684,11.629678239951893,30.37094777777778,8.474011824513012,9.774999999999988,2.9452887537993915,95.39213693414617,23.0489788182643
